GSE Series,Biosample Name,Method,Gene,Platform,Experimental_GSM,Control_GSM
GSE115311,hVEC + TNF treatment,ko,NFKBIA,?,GSM3175344;GSM3175345,GSM3175340;GSM3175341
GSE115311,hVEC,ko,RELA,?,GSM3175350;GSM3175351,GSM3175342;GSM3175343
GSE115311,hVEC + TNF treatment,ko,RELA,?,GSM3175348;GSM3175349,GSM3175340;GSM3175341
GSE115311,hVSMC,ko,NFKBIA,?,GSM3175358;GSM3175359,GSM3175354;GSM3175355
GSE115311,hVSMC + TNF treatment,ko,NFKBIA,?,GSM3175356;GSM3175357,GSM3175352;GSM3175353
GSE115311,hVSMC,ko,RELA,?,GSM3175362;GSM3175363,GSM3175354;GSM3175355
GSE115311,hVSMC + TNF treatment,ko,RELA,?,GSM3175360;GSM3175361,GSM3175352;GSM3175353
GSE115311,hMSC,ko,NFKBIA,?,GSM3175370;GSM3175371,GSM3175364;GSM3175365
GSE115311,hMSC + TNF treatment,ko,NFKBIA,?,GSM3175374;GSM3175375,GSM3175368;GSM3175369
GSE115311,hMSC + IL1B treatment,ko,NFKBIA,?,GSM3175372;GSM3175373,GSM3175366;GSM3175367
GSE115311,hMSC,ko,RELA,?,GSM3175376;GSM3175377,GSM3175364;GSM3175365
GSE115311,hMSC + TNF treatment,ko,RELA,?,GSM3175380;GSM3175381,GSM3175368;GSM3175369
GSE115311,hMSC + IL1B treatment,ko,RELA,?,GSM3175378;GSM3175379,GSM3175366;GSM3175367
GSE115318,HCASMC,siRNA,SMAD3,?,GSM3175521;GSM3175522;GSM3175523,GSM3175518;GSM3175519;GSM3175520
GSE115364,NHA,ko,IDH3A,?,GSM3176585;GSM3176586;GSM3176587;GSM3176588,GSM3176581;GSM3176582;GSM3176583;GSM3176584
GSE115421,hASC,siRNA,NFIA,?,GSM3416390;GSM3416391;GSM3416392,GSM3416384;GSM3416385;GSM3416386
GSE115421,hASC + rosiglitazone,siRNA,NFIA,?,GSM3416393;GSM3416394;GSM3416395,GSM3416387;GSM3416388;GSM3416389
GSE115789,MSC,siRNA,USP34,?,GSM3189990;GSM3189991,GSM3189988;GSM3189989
GSE115845,HEM,siRNA,MITF,?,GSM3191783;GSM3191784,GSM3191785;GSM3191786
GSE116033,HUVEC,siRNA,MST1,?,GSM3207738;GSM3207739;GSM3207740,GSM3207732;GSM3207733;GSM3207734
GSE116033,HUVEC,siRNA,FOXO1,?,GSM3207735;GSM3207736;GSM3207737,GSM3207732;GSM3207733;GSM3207734
GSE118088,NPC,shRNA,ATF7IP,?,GSM3318480;GSM3318481;GSM3318482,GSM3318477;GSM3318478;GSM3318479
GSE119264,HSPCs,shRNA,RUNX3,?,GSM3362528;GSM3362532;GSM3362536,GSM3362527;GSM3362531;GSM3362535
GSE119264,Erythroid cells,shRNA,RUNX3,?,GSM3362530;GSM3362534;GSM3362538,GSM3362529;GSM3362533;GSM3362537
GSE120766,1BR3,siRNA,MCM2,?,GSM3414962;GSM3414963;GSM3414964,GSM3414959;GSM3414960;GSM3414961
GSE120767,1BR3,siRNA,MCM7,?,GSM3414968;GSM3414969;GSM3414970,GSM3414965;GSM3414966;GSM3414967
GSE121560,HSC,ko,KLF6,?,GSM3439213;GSM3439215;GSM3439217;GSM3439219,GSM3439214;GSM3439216;GSM3439218;GSM3439220
GSE121680,HCEnC,ko,ZEB1,?,GSM3443290;GSM3443291;GSM3443292,GSM3443284;GSM3443285;GSM3443286
GSE122490,HUVEC,shRNA,SENCR,?,GSM3467285;GSM3467286;GSM3467287,GSM3467282;GSM3467283;GSM3467284
GSE122654,MSC,ko,RAP1GAP,?,GSM3477316;GSM3477317,GSM3477314;GSM3477315
GSE122654,NSC,ko,RAP1GAP,?,GSM3477324;GSM3477325,GSM3477322;GSM3477323
GSE125167,MSC,siRNA,ZBTB16,?,GSM3564547;GSM3564548;GSM3564549,GSM3564538;GSM3564539;GSM3564540
GSE127116,IMR90,siRNA,TLR10,?,GSM3625669;GSM3625672;GSM3625676;GSM3625679;GSM3625683;GSM3625686,GSM3625667;GSM3625670;GSM3625674;GSM3625677;GSM3625681;GSM3625684
GSE127116,IMR90,siRNA,TLR2,?,GSM3625668;GSM3625671;GSM3625675;GSM3625678;GSM3625682;GSM3625685,GSM3625667;GSM3625670;GSM3625674;GSM3625677;GSM3625681;GSM3625684
GSE127116,IMR90,Overexpression,NRAS,?,GSM3625667;GSM3625670;GSM3625674;GSM3625677;GSM3625681;GSM3625684,GSM3625666;GSM3625673;GSM3625680
GSE127223,primary human neonatal keratinocytes,siRNA,CPSF1,?,GSM3631157;GSM3631158,GSM3631155;GSM3631156
GSE127223,primary human neonatal keratinocytes,CrISPRi,CPSF1,?,GSM4077831;GSM4077832;GSM4077833,GSM4077834;GSM4077835
GSE127223,primary human neonatal keratinocytes,shRNA,HNRNPA3,?,GSM4648996;GSM4648997,GSM4648998;GSM4648999
GSE127736,podocytes,shRNA,EXOC5,?,GSM3637947;GSM3637948;GSM3637949,GSM3637944;GSM3637945;GSM3637946
GSE127880,HDF,siRNA,APP,?,GSM3640462;GSM3640463;GSM3640464,GSM3640450;GSM3640451;GSM3640452
GSE127880,HDF,siRNA,APP,?,GSM3640465;GSM3640466;GSM3640467,GSM3640453;GSM3640454;GSM3640455
GSE128711,HFF,ko,RB1,?,GSM3683597;GSM3683598,GSM3683589;GSM3683590
GSE128711,HFF,ko,RBL2,?,GSM3683593;GSM3683594,GSM3683589;GSM3683590
GSE128711,HFF + doxorubicin,ko,RB1,?,GSM3683599;GSM3683600,GSM3683591;GSM3683592
GSE128711,HFF + doxorubicin,ko,RBL2,?,GSM3683595;GSM3683596,GSM3683591;GSM3683592
GSE128711,HFF,ko,RB1 + RBL2,?,GSM3683601;GSM3683602,GSM3683589;GSM3683590
