"","gene"
"246","ENSG00000282844"
"247","ENSG00000131966"
"248","ENSG00000138107"
"249","ENSG00000291597"
"250","ENSG00000138071"
"251","ENSG00000115091"
"252","ENSG00000133627"
"253","ENSG00000106526"
"254","ENSG00000101442"
"255","ENSG00000075089"
"256","ENSG00000113812"
"257","ENSG00000184378"
"258","ENSG00000115170"
"259","ENSG00000135503"
"260","ENSG00000123612"
"261","ENSG00000121989"
"262","ENSG00000114739"
"263","ENSG00000139567"
"264","ENSG00000243989"
"265","ENSG00000132744"
"266","ENSG00000119640"
"267","ENSG00000170634"
"268","ENSG00000196839"
"269","ENSG00000140955"
"270","ENSG00000168803"
"271","ENSG00000137845"
"272","ENSG00000073670"
"273","ENSG00000148848"
"274","ENSG00000143537"
"275","ENSG00000151694"
"276","ENSG00000168619"
"277","ENSG00000135074"
"278","ENSG00000229186"
"279","ENSG00000226469"
"280","ENSG00000276286"
"281","ENSG00000134007"
"282","ENSG00000259158"
"283","ENSG00000139985"
"284","ENSG00000008277"
"285","ENSG00000114948"
"286","ENSG00000042980"
"287","ENSG00000168594"
"288","ENSG00000197140"
"289","ENSG00000149451"
"290","ENSG00000197475"
"291","ENSG00000069206"
"292","ENSG00000151651"
"293","ENSG00000168615"
"294","ENSG00000134028"
"295","ENSG00000154734"
"296","ENSG00000142303"
"297","ENSG00000281690"
"298","ENSG00000281244"
"299","ENSG00000138316"
"300","ENSG00000166106"
"301","ENSG00000145536"
"302","ENSG00000140470"
"303","ENSG00000140873"
"304","ENSG00000145808"
"305","ENSG00000087116"
"306","ENSG00000173157"
"307","ENSG00000156140"
"308","ENSG00000158859"
"309","ENSG00000154736"
"310","ENSG00000049192"
"311","ENSG00000136378"
"312","ENSG00000281976"
"313","ENSG00000261143"
"314","ENSG00000218052"
"315","ENSG00000134917"
"316","ENSG00000163638"
"317","ENSG00000178031"
"318","ENSG00000197859"
"319","ENSG00000291606"
"320","ENSG00000143382"
"321","ENSG00000185761"
"322","ENSG00000105963"
"323","ENSG00000184060"
"324","ENSG00000160710"
"325","ENSG00000197381"
"326","ENSG00000185736"
"327","ENSG00000065457"
"328","ENSG00000189007"
"329","ENSG00000213638"
"330","ENSG00000063761"
"331","ENSG00000133597"
"332","ENSG00000285451"
"333","ENSG00000164742"
"334","ENSG00000143199"
"335","ENSG00000161912"
"336","ENSG00000078295"
"337","ENSG00000138031"
"338","ENSG00000284814"
"339","ENSG00000173175"
"340","ENSG00000174233"
"341","ENSG00000121281"
"342","ENSG00000155897"
"343","ENSG00000162104"
"344","ENSG00000141433"
"345","ENSG00000078549"
"346","ENSG00000087274"
"347","ENSG00000075340"
"348","ENSG00000148700"
"349","ENSG00000118492"
"350","ENSG00000197177"
"351","ENSG00000020181"
"352","ENSG00000152990"
"353","ENSG00000181790"
"354","ENSG00000121753"
"355","ENSG00000135298"
"356","ENSG00000111452"
"357","ENSG00000180264"
"358","ENSG00000174837"
"359","ENSG00000127507"
"360","ENSG00000131355"
"361","ENSG00000268758"
"362","ENSG00000123146"
"363","ENSG00000153292"
"364","ENSG00000173567"
"365","ENSG00000153294"
"366","ENSG00000069122"
"367","ENSG00000227582"
"368","ENSG00000205336"
"369","ENSG00000173698"
"370","ENSG00000182885"
"371","ENSG00000156920"
"372","ENSG00000159618"
"373","ENSG00000112414"
"374","ENSG00000144820"
"375","ENSG00000288324"
"376","ENSG00000117114"
"377","ENSG00000150471"
"378","ENSG00000162618"
"379","ENSG00000164199"
"380","ENSG00000187758"
"381","ENSG00000196616"
"382","ENSG00000248144"
"383","ENSG00000198099"
"384","ENSG00000197894"
"385","ENSG00000172955"
"386","ENSG00000196344"
"387","ENSG00000147576"
"388","ENSG00000182551"
"389","ENSG00000181092"
"390","ENSG00000159346"
"391","ENSG00000285070"
"392","ENSG00000148671"
"393","ENSG00000156110"
"394","ENSG00000148926"
"395","ENSG00000128165"
"396","ENSG00000224420"
"397","ENSG00000101126"
"398","ENSG00000101544"
"399","ENSG00000181915"
"400","ENSG00000163485"
"401","ENSG00000128271"
"402","ENSG00000170425"
"403","ENSG00000282608"
"404","ENSG00000159322"
"405","ENSG00000144843"
"406","ENSG00000153531"
"407","ENSG00000170222"
"408","ENSG00000120907"
"409","ENSG00000170214"
"410","ENSG00000171873"
"411","ENSG00000150594"
"412","ENSG00000274286"
"413","ENSG00000184160"
"414","ENSG00000043591"
"415","ENSG00000169252"
"416","ENSG00000188778"
"417","ENSG00000130706"
"418","ENSG00000239900"
"419","ENSG00000111863"
"420","ENSG00000106624"
"421","ENSG00000139154"
"422","ENSG00000181026"
"423","ENSG00000196526"
"424","ENSG00000157510"
"425","ENSG00000169129"
"426","ENSG00000172493"
"427","ENSG00000155966"
"428","ENSG00000144218"
"429","ENSG00000072364"
"430","ENSG00000223959"
"431","ENSG00000141385"
"432","ENSG00000079557"
"433","ENSG00000183077"
"434","ENSG00000081051"
"435","ENSG00000119844"
"436","ENSG00000038002"
"437","ENSG00000157985"
"438","ENSG00000230869"
"439","ENSG00000288424"
"440","ENSG00000243289"
"441","ENSG00000279058"
"442","ENSG00000135439"
"443","ENSG00000133612"
"444","ENSG00000188234"
"445","ENSG00000172650"
"446","ENSG00000204149"
"447","ENSG00000264204"
"448","ENSG00000204172"
"449","ENSG00000273540"
"450","ENSG00000285501"
"451","ENSG00000146856"
"452","ENSG00000186094"
"453","ENSG00000084693"
"454","ENSG00000231268"
"455","ENSG00000173744"
"456","ENSG00000106351"
"457","ENSG00000164252"
"458","ENSG00000214273"
"459","ENSG00000282968"
"460","ENSG00000233435"
"461","ENSG00000241532"
"462","ENSG00000261752"
"463","ENSG00000006530"
"464","ENSG00000226555"
"465","ENSG00000162688"
"466","ENSG00000116771"
"467","ENSG00000187546"
"468","ENSG00000092847"
"469","ENSG00000123908"
"470","ENSG00000126070"
"471","ENSG00000134698"
"472","ENSG00000236873"
"473","ENSG00000169692"
"474","ENSG00000160216"
"475","ENSG00000026652"
"476","ENSG00000284980"
"477","ENSG00000018510"
"478","ENSG00000106541"
"479","ENSG00000173467"
"480","ENSG00000188157"
"481","ENSG00000159723"
"482","ENSG00000135744"
"483","ENSG00000135049"
"484","ENSG00000144891"
"485","ENSG00000180772"
"486","ENSG00000177674"
"487","ENSG00000172482"
"488","ENSG00000113492"
"489","ENSG00000153207"
"490","ENSG00000101444"
"491","ENSG00000168710"
"492","ENSG00000158467"
"493","ENSG00000126705"
"494","ENSG00000135541"
"495","ENSG00000124942"
"496","ENSG00000185567"
"497","ENSG00000106546"
"498","ENSG00000063438"
"499","ENSG00000100591"
"500","ENSG00000145192"
"501","ENSG00000169877"
"502","ENSG00000111732"
"503","ENSG00000186063"
"504","ENSG00000204472"
"505","ENSG00000126878"
"506","ENSG00000156709"
"507","ENSG00000042286"
"508","ENSG00000183773"
"509","ENSG00000146416"
"510","ENSG00000249089"
