"","gene"
"2849","ENSG00000130724"
"2850","ENSG00000083937"
"2851","ENSG00000115561"
"2852","ENSG00000285302"
"2853","ENSG00000101421"
"2854","ENSG00000258469"
"2855","ENSG00000164695"
"2856","ENSG00000086065"
"2857","ENSG00000176108"
"2858","ENSG00000147457"
"2859","ENSG00000128656"
"2860","ENSG00000106069"
"2861","ENSG00000154645"
"2862","ENSG00000285023"
"2863","ENSG00000187446"
"2864","ENSG00000166869"
"2865","ENSG00000123989"
"2866","ENSG00000033100"
"2867","ENSG00000111666"
"2868","ENSG00000104472"
"2869","ENSG00000090539"
"2870","ENSG00000101938"
"2871","ENSG00000054938"
"2872","ENSG00000275917"
"2873","ENSG00000168539"
"2874","ENSG00000181072"
"2875","ENSG00000133019"
"2876","ENSG00000180720"
"2877","ENSG00000184984"
"2878","ENSG00000138435"
"2879","ENSG00000129749"
"2880","ENSG00000120903"
"2881","ENSG00000080644"
"2882","ENSG00000101204"
"2883","ENSG00000169684"
"2884","ENSG00000147434"
"2885","ENSG00000274542"
"2886","ENSG00000174343"
"2887","ENSG00000283946"
"2888","ENSG00000160716"
"2889","ENSG00000147432"
"2890","ENSG00000117971"
"2891","ENSG00000135902"
"2892","ENSG00000108556"
"2893","ENSG00000196811"
"2894","ENSG00000175264"
"2895","ENSG00000115526"
"2896","ENSG00000171310"
"2897","ENSG00000136213"
"2898","ENSG00000180767"
"2899","ENSG00000169105"
"2900","ENSG00000182022"
"2901","ENSG00000175040"
"2902","ENSG00000122863"
"2903","ENSG00000140835"
"2904","ENSG00000135702"
"2905","ENSG00000183196"
"2906","ENSG00000147119"
"2907","ENSG00000124302"
"2908","ENSG00000154080"
"2909","ENSG00000131873"
"2910","ENSG00000198108"
"2911","ENSG00000127586"
"2912","ENSG00000168802"
"2913","ENSG00000160679"
"2914","ENSG00000213341"
"2915","ENSG00000258289"
"2916","ENSG00000125954"
"2917","ENSG00000144021"
"2918","ENSG00000005194"
"2919","ENSG00000263846"
"2920","ENSG00000159208"
"2921","ENSG00000185043"
"2922","ENSG00000136425"
"2923","ENSG00000141977"
"2924","ENSG00000079432"
"2925","ENSG00000281490"
"2926","ENSG00000248213"
"2927","ENSG00000226220"
"2928","ENSG00000233750"
"2929","ENSG00000229376"
"2930","ENSG00000232852"
"2931","ENSG00000176194"
"2932","ENSG00000285199"
"2933","ENSG00000187288"
"2934","ENSG00000179583"
"2935","ENSG00000138615"
"2936","ENSG00000160161"
"2937","ENSG00000100865"
"2938","ENSG00000198894"
"2939","ENSG00000138433"
"2940","ENSG00000099622"
"2941","ENSG00000122873"
"2942","ENSG00000145354"
"2943","ENSG00000274768"
"2944","ENSG00000114737"
"2945","ENSG00000122966"
"2946","ENSG00000125931"
"2947","ENSG00000164442"
"2948","ENSG00000179862"
"2949","ENSG00000148337"
"2950","ENSG00000136108"
"2951","ENSG00000169607"
"2952","ENSG00000136026"
"2953","ENSG00000175216"
"2954","ENSG00000166165"
"2955","ENSG00000217555"
"2956","ENSG00000254788"
"2957","ENSG00000104879"
"2958","ENSG00000223572"
"2959","ENSG00000237289"
"2960","ENSG00000131730"
"2961","ENSG00000173207"
"2962","ENSG00000268942"
"2963","ENSG00000123975"
"2964","ENSG00000074054"
"2965","ENSG00000163539"
"2966","ENSG00000104859"
"2967","ENSG00000105205"
"2968","ENSG00000016490"
"2969","ENSG00000137975"
"2970","ENSG00000153923"
"2971","ENSG00000016602"
"2972","ENSG00000121940"
"2973","ENSG00000175505"
"2974","ENSG00000188037"
"2975","ENSG00000114859"
"2976","ENSG00000109572"
"2977","ENSG00000232000"
"2978","ENSG00000073464"
"2979","ENSG00000171365"
"2980","ENSG00000011021"
"2981","ENSG00000103249"
"2982","ENSG00000186510"
"2983","ENSG00000184908"
"2984","ENSG00000163347"
"2985","ENSG00000134873"
"2986","ENSG00000013297"
"2987","ENSG00000157224"
"2988","ENSG00000159261"
"2989","ENSG00000106404"
"2990","ENSG00000113946"
"2991","ENSG00000066405"
"2992","ENSG00000164007"
"2993","ENSG00000165376"
"2994","ENSG00000171217"
"2995","ENSG00000177300"
"2996","ENSG00000285098"
"2997","ENSG00000185758"
"2998","ENSG00000165215"
"2999","ENSG00000189143"
"3000","ENSG00000184113"
"3001","ENSG00000184697"
"3002","ENSG00000288292"
"3003","ENSG00000156284"
"3004","ENSG00000213937"
"3005","ENSG00000080822"
"3006","ENSG00000160318"
"3007","ENSG00000132514"
"3008","ENSG00000105472"
"3009","ENSG00000172322"
"3010","ENSG00000256660"
"3011","ENSG00000176435"
"3012","ENSG00000038532"
"3013","ENSG00000187912"
"3014","ENSG00000157322"
"3015","ENSG00000140839"
"3016","ENSG00000157335"
"3017","ENSG00000261210"
"3018","ENSG00000150048"
"3019","ENSG00000165682"
"3020","ENSG00000188393"
"3021","ENSG00000110852"
"3022","ENSG00000069493"
"3023","ENSG00000236279"
"3024","ENSG00000166509"
"3025","ENSG00000163815"
"3026","ENSG00000111729"
"3027","ENSG00000198178"
"3028","ENSG00000166527"
"3029","ENSG00000166523"
"3030","ENSG00000152672"
"3031","ENSG00000182566"
"3032","ENSG00000268297"
"3033","ENSG00000104938"
"3034","ENSG00000258227"
"3035","ENSG00000205846"
"3036","ENSG00000172243"
"3037","ENSG00000197992"
"3038","ENSG00000153132"
"3039","ENSG00000162994"
"3040","ENSG00000226651"
"3041","ENSG00000155962"
"3042","ENSG00000169583"
"3043","ENSG00000169504"
"3044","ENSG00000112782"
"3045","ENSG00000159212"
"3046","ENSG00000113282"
"3047","ENSG00000130779"
"3048","ENSG00000106665"
"3049","ENSG00000105270"
"3050","ENSG00000115295"
"3051","ENSG00000013441"
"3052","ENSG00000261893"
"3053","ENSG00000179335"
"3054","ENSG00000226191"
"3055","ENSG00000113240"
"3056","ENSG00000257127"
"3057","ENSG00000165959"
"3058","ENSG00000166250"
"3059","ENSG00000188603"
"3060","ENSG00000102805"
"3061","ENSG00000128973"
"3062","ENSG00000278220"
"3063","ENSG00000109684"
"3064","ENSG00000074201"
"3065","ENSG00000134852"
"3066","ENSG00000172409"
"3067","ENSG00000162129"
"3068","ENSG00000125656"
"3069","ENSG00000137392"
"3070","ENSG00000204140"
"3071","ENSG00000196748"
"3072","ENSG00000104853"
"3073","ENSG00000274811"
"3074","ENSG00000166855"
"3075","ENSG00000163646"
"3076","ENSG00000180745"
"3077","ENSG00000092853"
"3078","ENSG00000171603"
"3079","ENSG00000158258"
"3080","ENSG00000288427"
"3081","ENSG00000122705"
"3082","ENSG00000175416"
"3083","ENSG00000141367"
"3084","ENSG00000070371"
"3085","ENSG00000120885"
"3086","ENSG00000103351"
"3087","ENSG00000132361"
"3088","ENSG00000131797"
"3089","ENSG00000079101"
"3090","ENSG00000177182"
"3091","ENSG00000146352"
"3092","ENSG00000125246"
"3093","ENSG00000092009"
"3094","ENSG00000168405"
"3095","ENSG00000111726"
"3096","ENSG00000164237"
"3097","ENSG00000187118"
"3098","ENSG00000291948"
"3099","ENSG00000182712"
"3100","ENSG00000153815"
"3101","ENSG00000174600"
"3102","ENSG00000162368"
"3103","ENSG00000134326"
"3104","ENSG00000184220"
"3105","ENSG00000089505"
"3106","ENSG00000140932"
"3107","ENSG00000140931"
"3108","ENSG00000183723"
"3109","ENSG00000166091"
"3110","ENSG00000091317"
"3111","ENSG00000153551"
"3112","ENSG00000170293"
"3113","ENSG00000137200"
"3114","ENSG00000292378"
"3115","ENSG00000164309"
"3116","ENSG00000176571"
"3117","ENSG00000149646"
"3118","ENSG00000169714"
"3119","ENSG00000150656"
"3120","ENSG00000133313"
"3121","ENSG00000205423"
"3122","ENSG00000105427"
"3123","ENSG00000198515"
"3124","ENSG00000144191"
"3125","ENSG00000132259"
"3126","ENSG00000070729"
"3127","ENSG00000170289"
"3128","ENSG00000100528"
"3129","ENSG00000174871"
"3130","ENSG00000143786"
"3131","ENSG00000143771"
"3132","ENSG00000142675"
"3133","ENSG00000149970"
"3134","ENSG00000153721"
"3135","ENSG00000130176"
"3136","ENSG00000064666"
"3137","ENSG00000227201"
"3138","ENSG00000213816"
"3139","ENSG00000213149"
"3140","ENSG00000117519"
"3141","ENSG00000119946"
"3142","ENSG00000148842"
"3143","ENSG00000168763"
"3144","ENSG00000158158"
"3145","ENSG00000125107"
"3146","ENSG00000291502"
"3147","ENSG00000158435"
"3148","ENSG00000111596"
"3149","ENSG00000277114"
"3150","ENSG00000080802"
"3151","ENSG00000113300"
"3152","ENSG00000138767"
"3153","ENSG00000230183"
"3154","ENSG00000198791"
"3155","ENSG00000155508"
"3156","ENSG00000144580"
"3157","ENSG00000173786"
"3158","ENSG00000115649"
"3159","ENSG00000146910"
"3160","ENSG00000257727"
"3161","ENSG00000137161"
"3162","ENSG00000166997"
"3163","ENSG00000118432"
"3164","ENSG00000188822"
"3165","ENSG00000119865"
"3166","ENSG00000162852"
"3167","ENSG00000176563"
"3168","ENSG00000242689"
"3169","ENSG00000122756"
"3170","ENSG00000044459"
"3171","ENSG00000018236"
"3172","ENSG00000184144"
"3173","ENSG00000113805"
"3174","ENSG00000144619"
"3175","ENSG00000149972"
"3176","ENSG00000134115"
"3177","ENSG00000108797"
"3178","ENSG00000174469"
"3179","ENSG00000106714"
"3180","ENSG00000154529"
"3181","ENSG00000273509"
"3182","ENSG00000276386"
"3183","ENSG00000278213"
"3184","ENSG00000152910"
"3185","ENSG00000155052"
"3186","ENSG00000119397"
"3187","ENSG00000170037"
"3188","ENSG00000106603"
"3189","ENSG00000183978"
"3190","ENSG00000181924"
"3191","ENSG00000183513"
"3192","ENSG00000168275"
"3193","ENSG00000162377"
"3194","ENSG00000068120"
"3195","ENSG00000106078"
"3196","ENSG00000082438"
"3197","ENSG00000100473"
"3198","ENSG00000166685"
"3199","ENSG00000135775"
"3200","ENSG00000136152"
"3201","ENSG00000103051"
"3202","ENSG00000284369"
"3203","ENSG00000133103"
"3204","ENSG00000168434"
"3205","ENSG00000213380"
"3206","ENSG00000121058"
"3207","ENSG00000123500"
"3208","ENSG00000060718"
"3209","ENSG00000232541"
"3210","ENSG00000111799"
"3211","ENSG00000197467"
"3212","ENSG00000187955"
"3213","ENSG00000204291"
"3214","ENSG00000084636"
"3215","ENSG00000065618"
"3216","ENSG00000182871"
"3217","ENSG00000082293"
"3218","ENSG00000108821"
"3219","ENSG00000164692"
"3220","ENSG00000101203"
"3221","ENSG00000124749"
"3222","ENSG00000169436"
"3223","ENSG00000050767"
"3224","ENSG00000171502"
"3225","ENSG00000188517"
"3226","ENSG00000160963"
"3227","ENSG00000196739"
"3228","ENSG00000215018"
"3229","ENSG00000139219"
"3230","ENSG00000291748"
"3231","ENSG00000187498"
"3232","ENSG00000134871"
"3233","ENSG00000169031"
"3234","ENSG00000081052"
"3235","ENSG00000188153"
"3236","ENSG00000197565"
"3237","ENSG00000130635"
"3238","ENSG00000204262"
"3239","ENSG00000080573"
"3240","ENSG00000142156"
"3241","ENSG00000142173"
"3242","ENSG00000163359"
"3243","ENSG00000230524"
"3244","ENSG00000228252"
"3245","ENSG00000172752"
"3246","ENSG00000206384"
"3247","ENSG00000114270"
"3248","ENSG00000144810"
"3249","ENSG00000171812"
"3250","ENSG00000112280"
"3251","ENSG00000049089"
"3252","ENSG00000092758"
"3253","ENSG00000184374"
"3254","ENSG00000118004"
"3255","ENSG00000158270"
"3256","ENSG00000130309"
"3257","ENSG00000198756"
"3258","ENSG00000206561"
"3259","ENSG00000173163"
"3260","ENSG00000145781"
"3261","ENSG00000114744"
"3262","ENSG00000148444"
"3263","ENSG00000269897"
"3264","ENSG00000140365"
"3265","ENSG00000170619"
"3266","ENSG00000188243"
"3267","ENSG00000149600"
"3268","ENSG00000169019"
"3269","ENSG00000110442"
"3270","ENSG00000105664"
"3271","ENSG00000093010"
"3272","ENSG00000165644"
"3273","ENSG00000122218"
"3274","ENSG00000129083"
"3275","ENSG00000184432"
"3276","ENSG00000105669"
"3277","ENSG00000181789"
"3278","ENSG00000158623"
"3279","ENSG00000172301"
"3280","ENSG00000166200"
"3281","ENSG00000141030"
"3282","ENSG00000138663"
"3283","ENSG00000121022"
"3284","ENSG00000168090"
"3285","ENSG00000111652"
"3286","ENSG00000144524"
"3287","ENSG00000198612"
"3288","ENSG00000172428"
"3289","ENSG00000111481"
"3290","ENSG00000005243"
"3291","ENSG00000135469"
"3292","ENSG00000115520"
"3293","ENSG00000251552"
"3294","ENSG00000173085"
"3295","ENSG00000132423"
"3296","ENSG00000167113"
"3297","ENSG00000110871"
"3298","ENSG00000119723"
"3299","ENSG00000167186"
"3300","ENSG00000088682"
"3301","ENSG00000145244"
"3302","ENSG00000102879"
"3303","ENSG00000172725"
"3304","ENSG00000110880"
"3305","ENSG00000106789"
"3306","ENSG00000103647"
"3307","ENSG00000167549"
"3308","ENSG00000282725"
"3309","ENSG00000278760"
"3310","ENSG00000241563"
"3311","ENSG00000103187"
"3312","ENSG00000006695"
"3313","ENSG00000166260"
"3314","ENSG00000178449"
"3315","ENSG00000014919"
"3316","ENSG00000133983"
"3317","ENSG00000138495"
"3318","ENSG00000163626"
"3319","ENSG00000240230"
"3320","ENSG00000203667"
"3321","ENSG00000213025"
"3322","ENSG00000131143"
"3323","ENSG00000228869"
"3324","ENSG00000131055"
"3325","ENSG00000178741"
"3326","ENSG00000291596"
"3327","ENSG00000235967"
"3328","ENSG00000237082"
"3329","ENSG00000111775"
"3330","ENSG00000226976"
"3331","ENSG00000156885"
"3332","ENSG00000126267"
"3333","ENSG00000253813"
"3334","ENSG00000249047"
"3335","ENSG00000160471"
"3336","ENSG00000164919"
"3337","ENSG00000260318"
"3338","ENSG00000238008"
"3339","ENSG00000234144"
"3340","ENSG00000235141"
"3341","ENSG00000161281"
"3342","ENSG00000112695"
"3343","ENSG00000115944"
"3344","ENSG00000258626"
"3345","ENSG00000131174"
"3346","ENSG00000170516"
"3347","ENSG00000127184"
"3348","ENSG00000235957"
"3349","ENSG00000176340"
"3350","ENSG00000047457"
"3351","ENSG00000091704"
"3352","ENSG00000158516"
"3353","ENSG00000163751"
"3354","ENSG00000128510"
"3355","ENSG00000158525"
"3356","ENSG00000165078"
"3357","ENSG00000160111"
"3358","ENSG00000153002"
"3359","ENSG00000080618"
"3360","ENSG00000108582"
"3361","ENSG00000109472"
"3362","ENSG00000277445"
"3363","ENSG00000137449"
"3364","ENSG00000107864"
"3365","ENSG00000113742"
"3366","ENSG00000106034"
"3367","ENSG00000240216"
"3368","ENSG00000168993"
"3369","ENSG00000145920"
"3370","ENSG00000213578"
"3371","ENSG00000166569"
"3372","ENSG00000135678"
"3373","ENSG00000120054"
"3374","ENSG00000178772"
"3375","ENSG00000214078"
"3376","ENSG00000140848"
"3377","ENSG00000085719"
"3378","ENSG00000196353"
"3379","ENSG00000124772"
"3380","ENSG00000285221"
"3381","ENSG00000178773"
"3382","ENSG00000139117"
"3383","ENSG00000144550"
"3384","ENSG00000144410"
"3385","ENSG00000080819"
"3386","ENSG00000103381"
"3387","ENSG00000104324"
"3388","ENSG00000021826"
"3389","ENSG00000285049"
"3390","ENSG00000214076"
"3391","ENSG00000165934"
"3392","ENSG00000119203"
"3393","ENSG00000160917"
"3394","ENSG00000187959"
"3395","ENSG00000111605"
"3396","ENSG00000149532"
"3397","ENSG00000110090"
"3398","ENSG00000205560"
"3399","ENSG00000169169"
"3400","ENSG00000157184"
"3401","ENSG00000224051"
"3402","ENSG00000106066"
"3403","ENSG00000088882"
"3404","ENSG00000121898"
"3405","ENSG00000109625"
"3406","ENSG00000203710"
"3407","ENSG00000197721"
"3408","ENSG00000117322"
"3409","ENSG00000166426"
"3410","ENSG00000143320"
"3411","ENSG00000130038"
"3412","ENSG00000177685"
"3413","ENSG00000169372"
"3414","ENSG00000007545"
"3415","ENSG00000095321"
"3416","ENSG00000134376"
"3417","ENSG00000148204"
"3418","ENSG00000130545"
"3419","ENSG00000113851"
"3420","ENSG00000241258"
"3421","ENSG00000169509"
"3422","ENSG00000118260"
"3423","ENSG00000107175"
"3424","ENSG00000157613"
"3425","ENSG00000182158"
"3426","ENSG00000060566"
"3427","ENSG00000143578"
"3428","ENSG00000146592"
"3429","ENSG00000005339"
"3430","ENSG00000111269"
"3431","ENSG00000164463"
"3432","ENSG00000137504"
"3433","ENSG00000143162"
"3434","ENSG00000175874"
"3435","ENSG00000163703"
"3436","ENSG00000184164"
"3437","ENSG00000095794"
"3438","ENSG00000147571"
"3439","ENSG00000145708"
"3440","ENSG00000276191"
"3441","ENSG00000106113"
"3442","ENSG00000150938"
"3443","ENSG00000213145"
"3444","ENSG00000182809"
"3445","ENSG00000146215"
"3446","ENSG00000119878"
"3447","ENSG00000124490"
"3448","ENSG00000096006"
"3449","ENSG00000121005"
"3450","ENSG00000103196"
"3451","ENSG00000167193"
"3452","ENSG00000099942"
"3453","ENSG00000006016"
"3454","ENSG00000292363"
"3455","ENSG00000176390"
"3456","ENSG00000088766"
"3457","ENSG00000072832"
"3458","ENSG00000101343"
"3459","ENSG00000143536"
"3460","ENSG00000058453"
"3461","ENSG00000226321"
"3462","ENSG00000215908"
"3463","ENSG00000291402"
"3464","ENSG00000291403"
"3465","ENSG00000005469"
"3466","ENSG00000132693"
"3467","ENSG00000095713"
"3468","ENSG00000109943"
"3469","ENSG00000170275"
"3470","ENSG00000105662"
"3471","ENSG00000160741"
"3472","ENSG00000140577"
"3473","ENSG00000105392"
"3474","ENSG00000008405"
"3475","ENSG00000121671"
"3476","ENSG00000160202"
"3477","ENSG00000109846"
"3478","ENSG00000108255"
"3479","ENSG00000163499"
"3480","ENSG00000196431"
"3481","ENSG00000100122"
"3482","ENSG00000244752"
"3483","ENSG00000100058"
"3484","ENSG00000100053"
"3485","ENSG00000080200"
"3486","ENSG00000285434"
"3487","ENSG00000285058"
"3488","ENSG00000127377"
"3489","ENSG00000213139"
"3490","ENSG00000165475"
"3491","ENSG00000103316"
"3492","ENSG00000116791"
"3493","ENSG00000205758"
"3494","ENSG00000282789"
"3495","ENSG00000062485"
"3496","ENSG00000139631"
"3497","ENSG00000198930"
"3498","ENSG00000268902"
"3499","ENSG00000268916"
"3500","ENSG00000292197"
"3501","ENSG00000172346"
"3502","ENSG00000009307"
"3503","ENSG00000124207"
"3504","ENSG00000184371"
"3505","ENSG00000182578"
"3506","ENSG00000164400"
"3507","ENSG00000292357"
"3508","ENSG00000100368"
"3509","ENSG00000232254"
"3510","ENSG00000108342"
"3511","ENSG00000119535"
"3512","ENSG00000147408"
"3513","ENSG00000169826"
"3514","ENSG00000213218"
"3515","ENSG00000103653"
"3516","ENSG00000183117"
"3517","ENSG00000121904"
"3518","ENSG00000164796"
"3519","ENSG00000113712"
"3520","ENSG00000180138"
"3521","ENSG00000223518"
"3522","ENSG00000141551"
"3523","ENSG00000213923"
"3524","ENSG00000169118"
"3525","ENSG00000133275"
"3526","ENSG00000234534"
"3527","ENSG00000151292"
"3528","ENSG00000101266"
"3529","ENSG00000070770"
"3530","ENSG00000254598"
"3531","ENSG00000204435"
"3532","ENSG00000173546"
"3533","ENSG00000282457"
"3534","ENSG00000291612"
"3535","ENSG00000259295"
"3536","ENSG00000260139"
"3537","ENSG00000291618"
"3538","ENSG00000114646"
"3539","ENSG00000104218"
"3540","ENSG00000144655"
"3541","ENSG00000110925"
"3542","ENSG00000178662"
"3543","ENSG00000159176"
"3544","ENSG00000175183"
"3545","ENSG00000129170"
"3546","ENSG00000170373"
"3547","ENSG00000170369"
"3548","ENSG00000101439"
"3549","ENSG00000101441"
"3550","ENSG00000175315"
"3551","ENSG00000077984"
"3552","ENSG00000121552"
"3553","ENSG00000160213"
"3554","ENSG00000101138"
"3555","ENSG00000101811"
"3556","ENSG00000177613"
"3557","ENSG00000176102"
"3558","ENSG00000125823"
"3559","ENSG00000268940"
"3560","ENSG00000269586"
"3561","ENSG00000230162"
"3562","ENSG00000271449"
"3563","ENSG00000269096"
"3564","ENSG00000228836"
"3565","ENSG00000278289"
"3566","ENSG00000169551"
"3567","ENSG00000225362"
"3568","ENSG00000204019"
"3569","ENSG00000126890"
"3570","ENSG00000212710"
"3571","ENSG00000214249"
"3572","ENSG00000214211"
"3573","ENSG00000285172"
"3574","ENSG00000232872"
"3575","ENSG00000288370"
"3576","ENSG00000285123"
"3577","ENSG00000233122"
"3578","ENSG00000288181"
"3579","ENSG00000236761"
"3580","ENSG00000159692"
"3581","ENSG00000175029"
"3582","ENSG00000251102"
"3583","ENSG00000213697"
"3584","ENSG00000234383"
"3585","ENSG00000117151"
"3586","ENSG00000178971"
"3587","ENSG00000102974"
"3588","ENSG00000124092"
"3589","ENSG00000175826"
"3590","ENSG00000282752"
"3591","ENSG00000144579"
"3592","ENSG00000175215"
"3593","ENSG00000144677"
"3594","ENSG00000137770"
"3595","ENSG00000150281"
"3596","ENSG00000116761"
"3597","ENSG00000164932"
"3598","ENSG00000134030"
"3599","ENSG00000163599"
"3600","ENSG00000044115"
"3601","ENSG00000066032"
"3602","ENSG00000183230"
"3603","ENSG00000119326"
"3604","ENSG00000168036"
"3605","ENSG00000178585"
"3606","ENSG00000132792"
"3607","ENSG00000198561"
"3608","ENSG00000169862"
"3609","ENSG00000040531"
"3610","ENSG00000171793"
"3611","ENSG00000047230"
"3612","ENSG00000198730"
"3613","ENSG00000168925"
"3614","ENSG00000168928"
"3615","ENSG00000162438"
"3616","ENSG00000141086"
"3617","ENSG00000064601"
"3618","ENSG00000285132"
"3619","ENSG00000109861"
"3620","ENSG00000117984"
"3621","ENSG00000196188"
"3622","ENSG00000174080"
"3623","ENSG00000100448"
"3624","ENSG00000103811"
"3625","ENSG00000143387"
"3626","ENSG00000135047"
"3627","ENSG00000266217"
"3628","ENSG00000263238"
"3629","ENSG00000163131"
"3630","ENSG00000136943"
"3631","ENSG00000172543"
"3632","ENSG00000101160"
"3633","ENSG00000288401"
"3634","ENSG00000077063"
"3635","ENSG00000143079"
"3636","ENSG00000142544"
"3637","ENSG00000174177"
"3638","ENSG00000178531"
"3639","ENSG00000233932"
"3640","ENSG00000205279"
"3641","ENSG00000107611"
"3642","ENSG00000180891"
"3643","ENSG00000107874"
"3644","ENSG00000055130"
"3645","ENSG00000108094"
"3646","ENSG00000036257"
"3647","ENSG00000139842"
"3648","ENSG00000158290"
"3649","ENSG00000166266"
"3650","ENSG00000044090"
"3651","ENSG00000112659"
"3652","ENSG00000226492"
"3653","ENSG00000119929"
"3654","ENSG00000257923"
"3655","ENSG00000111249"
"3656","ENSG00000138161"
"3657","ENSG00000150316"
"3658","ENSG00000163510"
"3659","ENSG00000276761"
"3660","ENSG00000153015"
"3661","ENSG00000095485"
"3662","ENSG00000152404"
"3663","ENSG00000109182"
"3664","ENSG00000006210"
"3665","ENSG00000168329"
"3666","ENSG00000154639"
"3667","ENSG00000265766"
"3668","ENSG00000163739"
"3669","ENSG00000169245"
"3670","ENSG00000169248"
"3671","ENSG00000107562"
"3672","ENSG00000156234"
"3673","ENSG00000145824"
"3674","ENSG00000161921"
"3675","ENSG00000189377"
"3676","ENSG00000081041"
"3677","ENSG00000163734"
"3678","ENSG00000163735"
"3679","ENSG00000124875"
"3680","ENSG00000169429"
"3681","ENSG00000138755"
"3682","ENSG00000163464"
"3683","ENSG00000180871"
"3684","ENSG00000229754"
"3685","ENSG00000186810"
"3686","ENSG00000121966"
"3687","ENSG00000160683"
"3688","ENSG00000172215"
"3689","ENSG00000154832"
"3690","ENSG00000187893"
"3691","ENSG00000168772"
"3692","ENSG00000171604"
"3693","ENSG00000008283"
"3694","ENSG00000162144"
"3695","ENSG00000174151"
"3696","ENSG00000114395"
"3697","ENSG00000166347"
"3698","ENSG00000103018"
"3699","ENSG00000182224"
"3700","ENSG00000167740"
"3701","ENSG00000159348"
"3702","ENSG00000166394"
"3703","ENSG00000100243"
"3704","ENSG00000065615"
"3705","ENSG00000215883"
"3706","ENSG00000051523"
"3707","ENSG00000165168"
"3708","ENSG00000071967"
"3709","ENSG00000179091"
"3710","ENSG00000172115"
"3711","ENSG00000232901"
"3712","ENSG00000227666"
"3713","ENSG00000176268"
"3714","ENSG00000259513"
"3715","ENSG00000184844"
"3716","ENSG00000235700"
"3717","ENSG00000214429"
"3718","ENSG00000288461"
"3719","ENSG00000055163"
"3720","ENSG00000161544"
"3721","ENSG00000155833"
"3722","ENSG00000083799"
"3723","ENSG00000288362"
"3724","ENSG00000160882"
"3725","ENSG00000148795"
"3726","ENSG00000137869"
"3727","ENSG00000140465"
"3728","ENSG00000140505"
"3729","ENSG00000138061"
"3730","ENSG00000119004"
"3731","ENSG00000239882"
"3732","ENSG00000231852"
"3733","ENSG00000019186"
"3734","ENSG00000095596"
"3735","ENSG00000003137"
"3736","ENSG00000187553"
"3737","ENSG00000135929"
"3738","ENSG00000111012"
"3739","ENSG00000186684"
"3740","ENSG00000197838"
"3741","ENSG00000255974"
"3742","ENSG00000198077"
"3743","ENSG00000197408"
"3744","ENSG00000256612"
"3745","ENSG00000108242"
"3746","ENSG00000165841"
"3747","ENSG00000138115"
"3748","ENSG00000138109"
"3749","ENSG00000275211"
"3750","ENSG00000263181"
"3751","ENSG00000226450"
"3752","ENSG00000130649"
"3753","ENSG00000197446"
"3754","ENSG00000237118"
"3755","ENSG00000130612"
"3756","ENSG00000134716"
"3757","ENSG00000186104"
"3758","ENSG00000167600"
"3759","ENSG00000233622"
"3760","ENSG00000268529"
"3761","ENSG00000155016"
"3762","ENSG00000073067"
"3763","ENSG00000146233"
"3764","ENSG00000160868"
"3765","ENSG00000021461"
"3766","ENSG00000106258"
"3767","ENSG00000160870"
"3768","ENSG00000282301"
"3769","ENSG00000036530"
"3770","ENSG00000187048"
"3771","ENSG00000162365"
"3772","ENSG00000142973"
"3773","ENSG00000171903"
"3774","ENSG00000186204"
"3775","ENSG00000186115"
"3776","ENSG00000171954"
"3777","ENSG00000269516"
"3778","ENSG00000267594"
"3779","ENSG00000224106"
"3780","ENSG00000228314"
"3781","ENSG00000186529"
"3782","ENSG00000214081"
"3783","ENSG00000223564"
"3784","ENSG00000290462"
"3785","ENSG00000230635"
"3786","ENSG00000239402"
"3787","ENSG00000186526"
"3788","ENSG00000145476"
"3789","ENSG00000186377"
"3790","ENSG00000186160"
"3791","ENSG00000290456"
"3792","ENSG00000001630"
"3793","ENSG00000233588"
"3794","ENSG00000215223"
"3795","ENSG00000167910"
"3796","ENSG00000172817"
"3797","ENSG00000180432"
"3798","ENSG00000205795"
"3799","ENSG00000173198"
"3800","ENSG00000152207"
"3801","ENSG00000197191"
"3802","ENSG00000120306"
"3803","ENSG00000108669"
"3804","ENSG00000105443"
"3805","ENSG00000008256"
"3806","ENSG00000100055"
"3807","ENSG00000115165"
"3808","ENSG00000170891"
"3809","ENSG00000166265"
"3810","ENSG00000180902"
"3811","ENSG00000100592"
"3812","ENSG00000146122"
"3813","ENSG00000173406"
"3814","ENSG00000153071"
"3815","ENSG00000136848"
"3816","ENSG00000276644"
"3817","ENSG00000126733"
"3818","ENSG00000165617"
"3819","ENSG00000164488"
"3820","ENSG00000197380"
"3821","ENSG00000129562"
"3822","ENSG00000173402"
"3823","ENSG00000134780"
"3824","ENSG00000164535"
"3825","ENSG00000178149"
"3826","ENSG00000179284"
"3827","ENSG00000110887"
"3828","ENSG00000182346"
"3829","ENSG00000112977"
"3830","ENSG00000132676"
"3831","ENSG00000196730"
"3832","ENSG00000035664"
"3833","ENSG00000167657"
"3834","ENSG00000163331"
"3835","ENSG00000070190"
"3836","ENSG00000117593"
"3837","ENSG00000123977"
"3838","ENSG00000229396"
"3839","ENSG00000188120"
"3840","ENSG00000071626"
"3841","ENSG00000183283"
"3842","ENSG00000092345"
"3843","ENSG00000006634"
"3844","ENSG00000161692"
"3845","ENSG00000235489"
"3846","ENSG00000123454"
"3847","ENSG00000155368"
